,,Anul I Seria A,,,,,,Anul I Seria B,,,,,,,,,,Anul I Seria C,,,,,,,,,,Anul I Seria D,,,,,,,Anul I Seria E,,,,,,Anul I Seria F,,,,,,,,,,,,Anul I Seria G,,,,,,,curs,curs,curs,sem,,,,,,,,
,,411A,412A,413A,414A,sala,,411Ba,411Bb,412Ba,412Bb,413Ba,413Bb,414Ba,414Bb,sala,,411Ca,411Cb,412Ca,412Cb,413Ca,413Cb,414Ca,414Cb,sala,,411D,412D,413D,414D,415D,sala,,411E,412E,413E,414E,sala,,411Fa,411Fb,412Fa,412Fb,413Fa,413Fb,414Fa,414Fb,415Fa,415Fb,sala,,411G,412G,413Ga,413Gb,414Ga,414Gb,sala,B306,B219a,B212,,METc (l),Fiz2 (l),SDA (l),,,,,
,09-10,"AM2 (curs) / MS (curs)
prof. A. Petrecu-Nita / prof. R. Purtan",,,,B223a,09-10,,,,,,,,,,09-10,METc (l) / --,,-- / METc (l),,,,,,,09-10,"AM2 (s) 
B09","BE2 (s) B10 /
/ MS (s) B10",,,,,09-10," Fizică2 (curs)
prof G. Cata-Danil ",,,,B306,09-10,,,,,,,,,,,,09-10,"Fizică2 (curs)
prof. G. Suliman",,,,,,B219a,1,1,0,2,2,0,0,10,,,,
,10-11,,,,,,10-11,,,,,,,,,,10-11,,,,,,,,,,10-11,,,,,,,10-11,,,,,,10-11,,,,,,,,,,,,10-11,,,,,,,,0,0,0,,,,,,,,,
,11-12,"Fizică2 (curs)
prof A. Lupscu ",,,,B223a,11-12,"-- / 
/ BE2 (s) B13",,"SDA (l) / 
/ -- ","-- /
/SDA (l) 
","AM2 (s) 
B11",,"BE2 (s) B13 / 
 / --",,,11-12,,,,,"AM2 (s)
B124",,"SDA (l) / 
/ -- ","-- /
/SDA (l) 
",,11-12,"BE2 (s) B09 /
/ MS (s) B09","AM2 (s) 
B10",,,,,11-12,"BE2 (curs)
prof. R. Costea",,,,B306,11-12,,,,,,,,,,,,11-12,"AM2 (curs) / MS (curs)
prof. A. Toma /  prof. I. Meghea",,,,,,B219a,1,1,0,5,2,0,2,18,,,,
,12-13,,,,,,12-13,,,,,,,,,,12-13,,,,,,,,,,12-13,,,,,,,12-13,,,,,,12-13,METc (l) / --,,-- / METc (l),,,,,,,,,12-13,,,,,,,,0,0,0,,,,,,,,,
,13-14,"BE2 (curs)
prof. I. Hănțila",,,,B223a,13-14,"SDA (l) / 
/ -- ","-- /
/ SDA (l) 
",-- / BE2 (s) B11,,BE2 (s) B11 /--,,"AM2 (s) 
B13",,,13-14,"SDA (l) / 
/ -- ","-- /
/SDA (l) 
","AM2 (s) 
B09",,,,,,,13-14,,,"AM2 (s)
B10",,,,13-14,"METc (curs)
prof. O. Preda",,,,B306,13-14,,,,,,,,,"SDA (l) / 
/ -- ","-- /
/SDA (l) 
",,13-14,"AM2 (s)
B124",,,,,,,1,0,0,5,0,0,3,28,,,,
,14-15,,,,,,14-15,,,,,,,,,,14-15,,,,,,,,,,14-15,,,,,,,14-15,,,,,,14-15,,,,,,,,,,,,14-15,,,,,,,,0,0,0,,,,,,,,,
,15-16,"Opt 2 (c)
F (B223a) / S (B219a) / P (B306) / C (A03) / CCE (A103) / 
IPAE (A05) / IE (B219b)",,,,,15-16,"Opt 2 (c)
F (B223a) / S (B219a) / P (B306) / C (A03) / CCE (A103) / 
IPAE (A05) / IE (B219b)",,,,,,,,,15-16,"Opt 2 (c)
F (B223a) / S (B219a) / P (B306) / C (A03) / CCE (A103) / 
IPAE (A05) / IE (B219b)",,,,,,,,,15-16,"Opt 2 (c)
F (B223a) / S (B219a) / P (B306) / C (A03) / CCE (A103) / 
IPAE (A05) / IE (B219b)",,,,,,15-16,"Opt 2 (c)
F (B223a) / S (B219a) / P (B306) / C (A03) / CCE (A103) / 
IPAE (A05) / IE (B219b)",,,,,15-16,"Opt 2 (c)
F (B223a) / S (B219a) / P (B306) / C (A03) / CCE (A103) / 
IPAE (A05) / IE (B219b)",,,,,,,,,,,15-16,,"AM2 (s)
B09",,,,,,0,0,0,1,0,0,0,19,,,,
,16-17,,,,,,16-17,,,,,,,,,,16-17,,,,,,,,,,16-17,,,,,,,16-17,,,,,,16-17,,,,,,,,,,,,16-17,,,,,,,,0,0,0,,,,,,,,,
,17-18,,,,,,17-18,,,,,,,"SDA (l) /
/ -- ","-- /
/ SDA (l) 
",,17-18,,,,,METc (l) / --,,-- / METc (l),,,17-18,,,,"AM2 (s)
B09",,,17-18,,,,,,17-18," BE2 (curs) / MS (curs)
prof. I. Nemoianu / prof. E. Simion",,,,,,,,,,B306,17-18,,,,,,,,1,0,0,1,2,0,1,19,,,,
,18-19,,,,,,18-19,,,,,,,,,,18-19,,,,,,,,,,18-19,,,,,,,18-19,,,,,,18-19,,,,,,,,,,,,18-19,,,,,,,,0,0,0,,,,,,,,,
