,,Anul II Seria A,,,,,,,,,Anul II Seria B,,,,,,,,,Anul II Seria C,,,,,,,,,Anul II Seria D,,,,,,,,,Anul II Seria E,,,,,,,,,Anul II Seria F,,,,,,,,,Anul II Seria G,,,,,,,,,curs,curs,curs,sem,,,,,,,,
,19-20,,,,,,,,,,,,,,,,,,,,,,,"CEF (s)
B122",,CID (s+l),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,,1,,0,,,
,20-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASC (l) / --,,-- / ASC (l),,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
JOI,09-10,"ASC (curs) / --
prof. Lucian Stanciu / --",,,,,,,,B219b,"CEF (curs) / O3 (c) SPICE
prof. D. Dobrescu /  prof. L. Dobrescu",,,,,,,,B110,,,,,"-- / Man (s)
-- / B12",,"Man (s) / --
B12 / --",,,ASC (l) / --,,CID (s+l),,-- / ASC (l),,,,,,,,,,,,,,"ASC (curs) / CEF (curs)
prof. Mircea Raducanu / D. Dobrescu",,,,,,,,A05,,,Sport,,,,,,,1,1,1,1,1,1,1,0,0,,,
,10-11,,,,,,,,,,,,,,,,,,A05,,,,,,,,,,ASC (l) / CE (l),,,,CE (l) / ASC (l),,,,,,,,,,,,,,,,,,,,,,B110,,,,,,,,,,1,1,0,,,,,,0,,,
,11-12,"CEF (curs) / AMP (curs)
prof. Gheorghe Brezeanu / prof. Horia Cucu",,,,,,,,B110,"CID (curs) 
prof. Sanda Maican",,,,,,,,A101,"Man (s) / --
B04 / --",,"-- / Man (s)
-- / B04",,,,Sport,,,,,Sport,,,,,,,"-- / CEF (s)
-- / A103",,,,"ASC (s)
B122",,CID (s+l),,,"AMP (curs) / CID (curs)
prof. Horia Cucu / prof. Calin Bira",,,,,,,,A05,,,"ASC (s)
B218",,"-- / Man (s)
-- / B12",,"Man (s) / --
B12 / --",,,1,1,0,5,2,,1,,0,,,
,12-13,,,,,,,,,B110,,,,,,,,,A101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A05,,,,,,,,,,1,1,0,,,,,0,0,,,
,13-14,"O4 Management (curs)
prof. B. Alexandrescu",,,,,,,,B110,"AMP (curs)
prof. Corneliu Burileanu",,,,,,,,A101,,,,,CE (l) / ASC (l),,,,,Sport,,"ASC (s)
B12",,Sport,,,,,,,"ASC (s)
B122",,"CEF (s)
A05",,,,,,CID (s+l),ASC (l) / CE (l),,,,CID (s+l),,,,,,,"ASC (s)
B218",,"CEF (s)
 Infineon",,,1,0,0,5,2,1,2,,0,,,
,14-15,,,,,,,,,B110,,,,,,,,,A101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,0,,,
,15-16,"Man (s) / --
B12 / --",,"-- / Man (s)
-- / B12",,CID (s+l),,,,,,,,,,,,,,Sport,,Sport,,,,,,,,,,,,,,,,"- / CID (c) 
 -- / M. Dascalu",,,,,,,,,,,,,,,,,,"ASC (s)
B218",,"CEF (s)
 Infineon",,,,,,,0,0,0,3,2,,1,0,0,,,
