 ,,Anul I Seria A,,,,,,Anul I Seria B,,,,,,,,,,,,Anul I Seria C,,,,,Anul I Seria D,,,,,,Anul I Seria E,,,,,Anul I Seria F,,,,,,,,,,,Anul I Seria G,,,,,curs,curs,curs,sem,,,,,,,,,,,
,,411A,412A,413A,414A,sala,411Ba,411Bb,412Ba,412Bb,413Ba,413Bb,414Ba,414Bb,413Ba,413Bb,414Ba,414Bb,sala,411C,412C,413C,414C,sala,411D,412D,413D,414D,415D,sala,411E,412E,413E,414E,sala,411Fa,411Fb,412Fa,412Fb,413Fa,413Fb,414Fa,414Fb,415Fa,415Fb,sala,411Ga,411Gb,412Ga,412Gb,sala,B306,B219a,B212,,PC(l),Fiz(l),Chim(l),,B09,B10,B11,B12,,,
,17-18,,,,,,-- / Chim(l),,Chim(l) / --,,Fiz(l) / --,,-- / Fiz(l),,,,,,,,,,,,,,,,,,,,,,,"AG(s) / AM1(s)
B12",,"LS1(s)
B11",," AM1(s) / AG(s)
B09",,,,,,,,,,,,0,0,0,0,0,,,7,1,0,1,1,,,
,18-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,0,,,,,,,,
,19-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,0,,,
,20-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VINERI,08-Sep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
,09-Oct, Programarea Calculatoarelor - PC (curs) Prof. B. Ionescu,,,,B219a,"Algebră și Geometrie - AG (curs)
Prof. A. Negrescu",,,,,,,,,,,,B306,"AM1(s) / AG(s)
B09","Fiz(s) / --
B04","-- / Fiz(s)
B04","AG(s) / AM1(s)
B11",,"BE1(s)
B10","-- / AG(s)
B12","AG(s) / --
B12","LS1(s)
A102",,,"Bazele electrotehnicii I - BE1 (curs)
prof. R. Costea",,,,B212,"Bazele Electrotehnicii 1  - BE1 (curs) / -- 
 Prof. I. Nemoianu / --",,,,,,,,,,A101,,,,,,1,1,1,0,0,,,22,1,1,1,2,Legendă,,
,10-Nov,,,,,B219a,,,,,,,,,,,,,B306,,,,,,,,,,,,,,,,B212,,,,,,,,,,,A101,-- / Fiz(l),,Fiz(l) /--,,,1,1,1,,,1,0,,,,,,,,
,11-Dec,AM1 (curs) Prof. R. Purnichescu,,,,B219a,"Fizica1 (curs)
prof. M. Stafe",,,,,,,,,,,,B306,"Fiz(s) / --
B 124","AG(s) / AM1(s)
B09","AM1(s) / AG(s)
B11","-- / Fiz(s)
B 124",,"-- / AG(s)
B10","BE1(s)
B12","LS1(s)
A102","AG(s) / --
B10",Sport(s),,"Analiză Matematică I- AM1 (curs) / Algebră și Geometrie - AG (curs)
prof. C. Bercia / prof. V. Slesar",,,,B212," Programarea Calculatoarelor - PC (curs)
prof. R. Hobincu",,,,,,,,,,A101,,,,,,1,1,1,0,0,,,21,1,2,1,1,,,
,Dec-13,,,,,B219a,,,,,,,,,,,,,B306,,,,,,,,,,,,,,,,B212,,,,,,,,,,,A101,,,,,,1,1,1,,,0,0,,,,,,,,
,13-14,"Bazele Electrotehnicii 1 BE1 (curs)
 prof. Constantinescu",,,,B219a,"Analiză Matematică I- AM1 (curs) / BE1 (curs)
prof. I. Meghea / prof. V. Paltanea",,,,,,,,,,,,B306,,Sport(s),"LS1(s)
B11",,,,,"BE1(s)
B12",,"-- / AG(s) 
B09",,,Sport(s),"LS1(s)
B206b","LS1(s)
B212",,"Algebră și Geometrie - AG (curs)
prof. O. Sandru",,,,,,,,,,A101,"AM1(s) / Fiz(s)
B124",,"LS1(s)
B10",,,1,1,0,0,0,,,18,1,1,1,2,"Activitate didactică
opţională",,"Act. Săpt impară /
/ ---"
,14-15,,,,,B219a,,,,,,,,,,,,,B306,,,,,,,,,,,,,,,,,,,,,,,,,,,A101,,,,,,1,1,0,,,0,0,,,,,,,,
,15-16,,,,,,PC(l),,"Sport(s)
",,,,,,,,,,,,"LS1(s)
B12",,,,,,Sport(s),,,,,,,,,,,,,,,,,,,,"LS1(s)
B10",,"AM1(s) / Fiz(s)
B09",,,0,0,0,0,1,,,6,1,1,0,1,,,
,16-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,0,,,,,,,,
,17-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,0,"Activitate didactică
facultativă",,"--- /
/ Act. Săpt pară"
,18-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,0,,,,,,,,
,19-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,0,,,
,20-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG (curs),,2,,,,,2,,,,,,,,,,,,,2,,,,,2,,,,,,2,,,,,2,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
AM1 (curs),,2,,,,,2,,,,,,,,,,,,,2,,,,,2,,,,,,2,,,,,2,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
BE1 (curs),,2,,,,,2,,,,,,,,,,,,,2,,,,,2,,,,,,2,,,,,2,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
Fizica1 (curs),,2,,,,,2,,,,,,,,,,,,,2,,,,,2,,,,,,2,,,,,2,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
