,,Anul III Seria A  - CTI,,,,,,,,,,,Anul III Seria B  - ELA,,,,,,,,,,,Anul III Seria C  - TST,,,,,,,,,,,,Anul III Seria D  - RST,,,,,,,,,,,Anul III Seria E  - MON,,,,,,,,,,,,Anul III Seria F  - ELA En,,,,Anul III Seria G - TST En,,,,,curs,curs,curs,sem,sem,,,,,,,
,11-12,"DEPI(l) /
/ TOP(l)"," TOP(l) /
/ DEPI(l)","DEPI(l) /
/ ASC(l)","ASC(l) /
/ DEPI(l)","TPI(p) B322 / 
/ PDS(l) ",,"PDS(l) /
/ TPI(p) B322",,,,11-12,"EII(l) /
/ BD(l)","EII(l) /
/ --","PDS(l) /
/ -- ","-- /
/ PDS(l)","-- /
/ DEPI(l)","DEPI(l) / 
/ --
","-- / 
/ EII(l)","BD(l) / 
/ EII(l)","-- /
/ TV(l)",,11-12,"Prelucrarea digitală a semnalelor (curs) 
Prof. S. Ciochina",,,,,,,,,,B206a,11-12,"Tehnologii de programare în Internet (curs)
S.L. L. Boicescu",,,,,,,,,A03,11-12,"Calitate si fiabiliate (curs) Prof. Bacivarov /
/ ---",,,,,,,,,,A103,11-12,"Television (curs)
Prof. I. Tache",,,,,,,B212,11-12,0,1,0,0,0,,,,,,,
,12-13,,,,,,,,,,,12-13,,,,,,,,,,,12-13,,,,,,,,,,,,12-13,,,,,,,,,,,12-13,,,,,,,,,,,,12-13,,,,,,,,,12-13,,,,,,,,,,,,
,13-14,"TV(l) /
/ PDS(l)","PDS(l) /
/ TV(l)","-- /
/ PDS(l)","PDS(l) /
/ --","TOP(l) /
/ DEPI(l)","DEPI(l) /
/ TOP(l)","ASC(l) /
/ DEPI(l)"," DEPI(l) /
/ ASC(l)",,,13-14,,,"-- / 
/ DEPI(l)","DEPI(l) /
/ --","-- / 
/ BD(l)","BD(l) /
/ --","PDS(l) / 
/ --","-- /
/ PDS(l)","BD(l) /
/ PDS(l)",,13-14,"Comunicaţii analogice şi digitale (curs) Prof. I. Ceapa & Prof. S. Obreja /
/ Decizie si estimare in prelucrarea informatiilor (curs) Prof. L. Perisoara ",,,,,,,,,,"B110
",13-14,"Decizie si estimare in prelucrarea informatiilor (curs) Prof C. Danisor /
 Arhitecturi si protocoale de comunicatii (curs) Prof. O. Catrina",,,,,,,,,A03,13-14,"Instrumente software pentru microelectronica (curs) 
Prof. C. Dan",,,,,,,,,,B212,13-14,"Industrial Electronics and Informatics (curs)
Prof. C. Radoi",,,B235,"Microwave Circuits (curs)
Prof. G. Lojewski",,,A103,13-14,0,1,0,0,0,,,,,,,
,14-15,,,,,,,,,,,14-15,,,,,,,,,,,14-15,,,,,,,,,,,,14-15,,,,,,,,,,,14-15,,,,,,,,,,,,14-15,,,,,,,,,14-15,,,,,,,,,,,,
,15-16,"-- /
/ PDS(l)","PDS(l) /
/ --","-- /
/ PDS(l)","PDS(l) /
/ --"," TV(l) /
/ ASC(l)","ASC(l) /
/ TV(l)","TOP(l) /
/ --","-- /
/ TOP(l)",,,15-16,,,"-- / 
/ BD(l)","BD(l) /
/ --",,,"PDS(l) / 
/ DEPI(l)","DEPI(l) /
/ PDS(l)","SC(l) /
/ PDS(l)",,15-16,,,,,,," DEPI(l) /
/ --","-- /
/ DEPI(l)",,,,15-16,,,,,,,,,,,15-16,"Prelucrarea digitală a semnalelor (curs)
Prof. D. Burileanu",,,,,,,,,,B212,15-16,"EII(l) /
/ DEPI(s) B124",,,,"DEPI(s) B110 /
/ --",,"DEPI(s) B110/
/ --",,15-16,0,0,0,1,0,,,,,,,
,16-17,,,,,,,,,,,16-17,,,,,,,,,,,16-17,,,,,,,,,,,,16-17,,,,,,,,,,,16-17,,,,,,,,,,,,16-17,,,,,,,,,16-17,,,,,,,,,,,,
,17-18,,,,,,,"-- /
/ TV(l)","TV(l) /
/ --",,,17-18,,,,,,,,,,,17-18,,,,,,,,,,,,17-18,,,,,,,,,,,17-18,"--- / 
/ Senzori si circuite de conditionare a semnalelor (curs)
Prof. M. Bodea",,,,,,,,,,B212,17-18,,,,,,,,,17-18,0,0,0,0,0,,,,,,,
,18-19,,,,,,,,,,,18-19,,,,,,,,,,,18-19,,,,,,,,,,,,18-19,,,,,,,,,,,18-19,,,,,,,,,,,,18-19,,,,,,,,,18-19,,,,,,,,,,,,
,19-20,,,,,,,,,,,19-20,,,,,,,,,,,19-20,,,,,,,,,,,,19-20,,,,,,,,,,,19-20,,,,,,,,"-- /
/ ISM(l)","ISM(l) /
/ --",,,19-20,,,,,,,,,19-20,0,0,0,0,0,,,,,,,
,20-21,,,,,,,,,,,20-21,,,,,,,,,,,20-21,,,,,,,,,,,,20-21,,,,,,,,,,,20-21,,,,,,,,,,,,20-21,,,,,,,,,20-21,,,,,,,,,,Legendă,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VINERI,08-09,,,,,,,,,,,08-09,,,,,,,,,,,08-09,,,,,,,,,,,,08-09,,,,,,,,,,,08-09,,,,,,,,,,,,08-09,,,,,,,,,08-09,,,,,,,,,,"Activitate didactică
obligatorie",,"Act. Săpt impară /
/ Act. Săpt pară"
,09-10,"-- /
/ DEPI(s) B124",,"DEPI(s) B124 /
/ --",,"SO(l) /
/ --",,"-- /
/ SO(l)",,,,09-10,"TV(l)/
/ PDS(l)","PDS(l) /
/ TV(l)",,,,,,,,,09-10,,,,,,," CM(l) /
/ PDS(l)","PDS(l) /
/ CM(l)",,,,09-10,"DEPI(l) /
 / --","-- /
 / DEPI(l)","-- /
 / TPI(l)","TPI(l) /
 / --","-- /
 / APC(l)","APC(l) /
 / --",,,,,09-10,"CAF(l) /
/ --","-- /
/ CAF(l)",,,,,,,,,,09-10,,,,,,,,,09-10,0,0,0,2,0,,,,,,,
,10-11,,,,,,,,,,,10-11,,,,,,,,,,,10-11,,,,,,,,,,,,10-11,,,,,,,,,,,10-11,,,,,,,,,,,,10-11,,,,,,,,,10-11,,,,,,,,,,,,
,11-12,"Sisteme de operare (curs) 
Prof. C. Stoica",,,,,,,,,A103,11-12,"SCCS(l) /
/ PDS(l)","PDS(l) /
/ SCCS(l)","TV(l) /
/ --","-- /
/ TV(l)","SC(l) /
/ --","-- /
/ SC(l)",,,,,11-12,,,,,"PDS(l) /
/ --","-- /
/ PDS(l)","-- /
/ PDS(s) B206b",,,,,11-12,"TPI(l) /
 / --","-- /
 / TPI(l)","-- /
 / DEPI(l)","DEPI(l) /
 / --","-- /
 / APC(l)","APC(l) /
 / --",,,,,11-12,"ISM(l) /
/ --","-- /
/ ISM(l)",,,"CAF(l)/
/ --","-- /
/CAF(l)",,,,,,11-12,,,,,,,,,11-12,0,1,0,0,0,,,,,,,
