 ,,Anul III Seria A  - CTI,,,,,,,,,,Anul III Seria B  - ELA,,,,,,,,,,,Anul III Seria C  - TST,,,,,,,,,,Anul III Seria D  - RST,,,,,,,,,,Anul III Seria E  - MON,,,,,,,,,,,,Anul III Seria F  - ELA En,,,Anul III Seria G - TST En,,,,,curs,curs,curs,sem,sem,,,,,,,
,,431Aa,431Ab,432Aa,432Ab,433Aa,433Ab,434Aa,434Ab,sala,,431Ba,431Bb,432Ba,432Bb,433Ba,433Bb,434Ba,434Bb,435Ba,sala,,431Ca,431Cb,432Ca,432Cb,433Ca,433Cb,434Ca,434Cb,sala,,431Da,431Db,432Da,432Db,433Da,433Db,434Da,434Db,sala,,431Ea,431Eb,432Ea,432Eb,433Ea,433Eb,434Ea,434Eb,435Ea,435Eb,sala,,431Fa,431Fb,,431Ga,431Gb,432Ga,sala,,A101,A103,B223a,B124,B13,,,,,,,
,13-14,"uU (s) A806 / 
/ --",,,,,,,,,13-14,"Microunde (curs) Prof. R. Cacoveanu 
/ Circuite integrate analogice (curs) Prof. C. Popa",,,,,,,,,B206a,13-14,IEM(l) / --,,-- / IEM(l),,,,"CIA (l) /
/ --","-- /
/ CIA (l)",,13-14,"Instrumentatie electronica de masura (curs)
Prof. A. Vulpe",,,,,,,,A103,13-14,"TTI (s) B124/ 
/ --",,"-- / 
/ TTI (s) B124",,"uU (l) /
/ TTI (l)","TTI (l) /
/ uU (l)","Proiect1 B04 / 
/ --",,"-- /
/ Proiect1 B04",,,13-14,"Teoria transmisiunii informatiei (curs) D. Stoichescu  /
/ Instrumentatie electronica de masura (curs) Prof. A. Paun ",,,,,,B223a,13-14,0,1,1,2,0,,,,,,,
,14-15,,,,,,,,,,14-15,,,,,,,,,,,14-15,,,,,,,,,,14-15,,,,,,,,,,14-15,,,,,,,,,,,,14-15,,,,,,,,14-15,,,,,,,,,,,,
,15-16,,,,,,,,,,15-16,"Instrumentatie electronica de masura (curs)
Prof M. Stanciu",,,,,,,,,B206a,15-16,,,,,Proiect1 B04,,"uU (l) /
/ TTI (l)","TTI (l) /
/ uU (l)",,15-16,,,,,,,,,,15-16,"uU (s) A 806 / 
/ --",,"-- / 
/ uU (s) A 806",,Proiect1 A103,,"CIA (s) B215 / 
/ TTI (s) B13",,"TTI (s) B13/ 
/ CIA (s) B215",,,15-16,"TTI (s) B124 /
/ --",,,"-- / 
/ TTI (s) B124",,"CIA (l) / 
/ TTI (s) B124",,15-16,0,2,0,3,2,,,,,,,
,16-17,,,,,,,,,,16-17,,,,,,,,,,,16-17,Proiect1 B04,,,,,,,,,16-17,,,,,Proiect1 A103,,,,,16-17,,,,,,,,,,,,16-17,,,,,,,,16-17,,,,,,,,,,,,
,17-18,,,,,,,,,,17-18,,,,,,,"-- /
/ TTI (l)","TTI (l) /
/ --",,,17-18,,,,,,,,,,17-18,,,,,"-- /
/ CIA (l)","CIA (l) /
/ --",Proiect1 B04,,,17-18,"CIA (s) B13 / 
/ --",,"-- / 
/ CIA (s) B13",,,,"-- / 
/ uU (s) A806",," uU (s) A806 /
/ --",,,17-18,,,,Proiect1,,,B219a,17-18,0,0,0,0,2,,,,,,,
,18-19,,,,,,,,,,18-19,,,,,,,,,,,18-19,,,,,,,,,,18-19,,,,,,,,,,18-19,,,,,,,,,,,,18-19,,,,,,,,18-19,,,,,,,,,,,,
,19-20,,,,,,,,,,19-20,,,,,,,"-- /
/ uU (l)","uU (l) /
/ --","TTI (l) /
/ CIA (l)",,19-20,,,,,,,,,,19-20,,,,,,,,,,19-20,,,,,,,,,,,,19-20,,,,,,,,19-20,0,0,0,0,0,,,,,,,
,20-21,,,,,,,,,,20-21,,,,,,,,,,,20-21,,,,,,,,,,20-21,,,,,,,,,,20-21,,,,,,,,,,,,20-21,,,,,,,,20-21,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOI,08-09,,,,,,,,,,08-09,,,,,,,,,,,08-09,,,,,,,,,,08-09,,,,,,,,,,08-09,,,,,,,,,,,,08-09,,,,,,,,08-09,,,,,,,,,,,,
,09-10,,,,,"TTI (s) B124 / 
/ uU (s) B04",,"uU (s) B04 / 
/ TTI (s) B124",,,09-10,,,,,,,,,,,09-10,"TTI (s) B13 / 
/ --",,"-- / 
/ TTI (s) B13",,"IEM(l) /
/ --",,"-- /
/ IEM(l)",,,09-10,"Teoria transmisiunii informatiei (curs)
 Prof. D. Faur",,,,,,,,B223a,09-10,"uU (l) /
/ TTI (l)","TTI (l) /
/ uU (l)","CIA (l) /
/ --","-- /
/ CIA (l)",,,,,,,,09-10,"Instrumentatie electronica de masura (curs)
Prof. A. Paun",,,,,,A103,09-10,0,1,1,2,2,,,,,,,
,10-11,,,,,,,,,,10-11,,,,," uU (s) A806 / 
/ --",," --  / 
/ uU (s) A806",,,,10-11,,,,,,,,,,10-11,,,,,,,,,,10-11,,,,,,,,,,,,10-11,,,,,,,,10-11,,,,,,,,,,,,
